#Firmware: Speeduino 2019.03
PriLevel,SecLevel,Trigger,Sync,RefTime,MaxTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms,ms
0.0,0.0,0.0,1.0,4.852,473.196,-468.344,4.852
1.0,0.0,0.0,1.0,14.548,473.196,9.696,14.548
0.0,0.0,0.0,1.0,21.864,473.196,7.316,21.864
1.0,0.0,0.0,1.0,54.988,473.196,33.124,54.988
0.0,0.0,0.0,1.0,63.38,473.196,8.392,63.38
1.0,0.0,0.0,1.0,99.112,473.196,35.732,99.112
0.0,0.0,0.0,1.0,105.436,473.196,6.324,105.436
1.0,0.0,0.0,1.0,116.252,473.196,10.816,116.252
0.0,0.0,0.0,1.0,121.048,473.196,4.796,121.048
1.0,0.0,0.0,1.0,130.78,473.196,9.732,130.78
0.0,0.0,0.0,1.0,135.184,473.196,4.404,135.184
1.0,0.0,0.0,1.0,142.524,473.196,7.34,142.524
0.0,0.0,0.0,1.0,146.512,473.196,3.988,146.512
1.0,0.0,0.0,1.0,152.552,473.196,6.04,152.552
0.0,0.0,0.0,1.0,156.248,473.196,3.696,156.248
1.0,0.0,0.0,1.0,161.78,473.196,5.532,161.78
0.0,0.0,0.0,1.0,165.32,473.196,3.54,165.32
1.0,0.0,0.0,1.0,170.684,473.196,5.364,170.684
0.0,0.0,0.0,1.0,174.252,473.196,3.568,174.252
1.0,0.0,0.0,1.0,179.724,473.196,5.472,179.724
0.0,0.0,0.0,1.0,183.336,473.196,3.612,183.336
1.0,0.0,0.0,1.0,189.14,473.196,5.804,189.14
0.0,0.0,0.0,1.0,192.896,473.196,3.756,192.896
1.0,0.0,0.0,1.0,199.328,473.196,6.432,199.328
0.0,0.0,0.0,1.0,203.344,473.196,4.016,203.344
1.0,0.0,0.0,1.0,210.752,473.196,7.408,210.752
0.0,0.0,0.0,1.0,214.996,473.196,4.244,214.996
1.0,0.0,0.0,1.0,224.108,473.196,9.112,224.108
0.0,0.0,0.0,1.0,228.612,473.196,4.504,228.612
1.0,0.0,0.0,1.0,237.648,473.196,9.036,237.648
0.0,0.0,0.0,1.0,244.756,473.196,7.108,244.756
1.0,0.0,0.0,1.0,278.024,473.196,33.268,278.024
0.0,0.0,0.0,1.0,283.168,473.196,5.144,283.168
1.0,0.0,0.0,1.0,292.984,473.196,9.816,292.984
0.0,0.0,0.0,1.0,297.584,473.196,4.6,297.584
1.0,0.0,0.0,1.0,308.04,473.196,10.456,308.04
0.0,0.0,0.0,1.0,312.78,473.196,4.74,312.78
1.0,0.0,0.0,1.0,323.628,473.196,10.848,323.628
0.0,0.0,0.0,1.0,328.364,473.196,4.736,328.364
1.0,0.0,0.0,1.0,339.18,473.196,10.816,339.18
0.0,0.0,0.0,1.0,343.876,473.196,4.696,343.876
1.0,0.0,0.0,1.0,353.352,473.196,9.476,353.352
0.0,0.0,0.0,1.0,357.84,473.196,4.488,357.84
1.0,0.0,0.0,1.0,365.228,473.196,7.388,365.228
0.0,0.0,0.0,1.0,369.272,473.196,4.044,369.272
1.0,0.0,0.0,1.0,375.476,473.196,6.204,375.476
0.0,0.0,0.0,1.0,379.32,473.196,3.844,379.32
1.0,0.0,0.0,1.0,385.016,473.196,5.696,385.016
0.0,0.0,0.0,1.0,388.776,473.196,3.76,388.776
1.0,0.0,0.0,1.0,394.38,473.196,5.604,394.38
0.0,0.0,0.0,1.0,398.144,473.196,3.764,398.144
1.0,0.0,0.0,1.0,403.868,473.196,5.724,403.868
0.0,0.0,0.0,1.0,407.772,473.196,3.904,407.772
1.0,0.0,0.0,1.0,413.92,473.196,6.148,413.92
0.0,0.0,0.0,1.0,418.024,473.196,4.104,418.024
1.0,0.0,0.0,1.0,424.924,473.196,6.9,424.924
0.0,0.0,0.0,1.0,429.332,473.196,4.408,429.332
1.0,0.0,0.0,1.0,437.48,473.196,8.148,437.48
0.0,0.0,0.0,1.0,442.32,473.196,4.84,442.32
1.0,0.0,0.0,1.0,451.072,473.196,8.752,451.072
0.0,0.0,0.0,1.0,455.572,473.196,4.5,455.572
1.0,0.0,0.0,1.0,465.552,473.196,9.98,465.552
0.0,0.0,0.0,1.0,473.104,473.196,7.552,473.104
0.0,0.0,0.0,1.0,473.16,473.196,0.056,473.16
MARK 000
0.0,0.0,0.0,1.0,0.02,473.196,-473.14,0.02
1.0,0.0,0.0,1.0,32.224,473.196,32.204,32.224
0.0,0.0,0.0,1.0,40.712,473.196,8.488,40.712
1.0,0.0,0.0,1.0,75.34,473.196,34.628,75.34
0.0,0.0,0.0,1.0,81.564,473.196,6.224,81.564
1.0,0.0,0.0,1.0,91.944,473.196,10.38,91.944
0.0,0.0,0.0,1.0,96.712,473.196,4.768,96.712
1.0,0.0,0.0,1.0,106.192,473.196,9.48,106.192
0.0,0.0,0.0,1.0,110.588,473.196,4.396,110.588
1.0,0.0,0.0,1.0,118.084,473.196,7.496,118.084
0.0,0.0,0.0,1.0,122.16,473.196,4.076,122.16
1.0,0.0,0.0,1.0,128.504,473.196,6.344,128.504
0.0,0.0,0.0,1.0,132.324,473.196,3.82,132.324
1.0,0.0,0.0,1.0,138.212,473.196,5.888,138.212
0.0,0.0,0.0,1.0,141.904,473.196,3.692,141.904
1.0,0.0,0.0,1.0,147.724,473.196,5.82,147.724
0.0,0.0,0.0,1.0,151.456,473.196,3.732,151.456
1.0,0.0,0.0,1.0,157.488,473.196,6.032,157.488
0.0,0.0,0.0,1.0,161.28,473.196,3.792,161.28
1.0,0.0,0.0,1.0,167.816,473.196,6.536,167.816
0.0,0.0,0.0,1.0,171.792,473.196,3.976,171.792
1.0,0.0,0.0,1.0,179.244,473.196,7.452,179.244
0.0,0.0,0.0,1.0,183.548,473.196,4.304,183.548
1.0,0.0,0.0,1.0,192.58,473.196,9.032,192.58
0.0,0.0,0.0,1.0,197.076,473.196,4.496,197.076
1.0,0.0,0.0,1.0,205.636,473.196,8.56,205.636
0.0,0.0,0.0,1.0,209.888,473.196,4.252,209.888
1.0,0.0,0.0,1.0,219.444,473.196,9.556,219.444
0.0,0.0,0.0,1.0,226.492,473.196,7.048,226.492
1.0,0.0,0.0,1.0,259.728,473.196,33.236,259.728
0.0,0.0,0.0,1.0,264.9,473.196,5.172,264.9
1.0,0.0,0.0,1.0,274.84,473.196,9.94,274.84
0.0,0.0,0.0,1.0,279.452,473.196,4.612,279.452
1.0,0.0,0.0,1.0,290.152,473.196,10.7,290.152
0.0,0.0,0.0,1.0,294.94,473.196,4.788,294.94
1.0,0.0,0.0,1.0,306.132,473.196,11.192,306.132
0.0,0.0,0.0,1.0,310.912,473.196,4.78,310.912
1.0,0.0,0.0,1.0,322.104,473.196,11.192,322.104
0.0,0.0,0.0,1.0,326.856,473.196,4.752,326.856
1.0,0.0,0.0,1.0,336.576,473.196,9.72,336.576
0.0,0.0,0.0,1.0,341.052,473.196,4.476,341.052
1.0,0.0,0.0,1.0,348.296,473.196,7.244,348.296
0.0,0.0,0.0,1.0,352.3,473.196,4.004,352.3
1.0,0.0,0.0,1.0,358.244,473.196,5.944,358.244
0.0,0.0,0.0,1.0,361.98,473.196,3.736,361.98
1.0,0.0,0.0,1.0,367.348,473.196,5.368,367.348
0.0,0.0,0.0,1.0,370.988,473.196,3.64,370.988
1.0,0.0,0.0,1.0,376.184,473.196,5.196,376.184
0.0,0.0,0.0,1.0,379.828,473.196,3.644,379.828
1.0,0.0,0.0,1.0,385.096,473.196,5.268,385.096
0.0,0.0,0.0,1.0,388.812,473.196,3.716,388.812
1.0,0.0,0.0,1.0,394.388,473.196,5.576,394.388
0.0,0.0,0.0,1.0,398.268,473.196,3.88,398.268
1.0,0.0,0.0,1.0,404.384,473.196,6.116,404.384
0.0,0.0,0.0,1.0,408.512,473.196,4.128,408.512
1.0,0.0,0.0,1.0,415.464,473.196,6.952,415.464
0.0,0.0,0.0,1.0,419.968,473.196,4.504,419.968
1.0,0.0,0.0,1.0,428.448,473.196,8.48,428.448
0.0,0.0,0.0,1.0,433.36,473.196,4.912,433.36
1.0,0.0,0.0,1.0,443.064,473.196,9.704,443.064
0.0,0.0,0.0,1.0,450.292,473.196,7.228,450.292
1.0,0.0,0.0,1.0,483.804,483.804,33.512,483.804
0.0,0.0,0.0,1.0,492.192,492.192,8.388,492.192
1.0,0.0,0.0,1.0,528.32,528.32,36.128,528.32
MARK 001
0.0,0.0,0.0,1.0,6.376,528.32,-521.944,6.376
1.0,0.0,0.0,1.0,17.296,528.32,10.92,17.296
0.0,0.0,0.0,1.0,22.164,528.32,4.868,22.164
1.0,0.0,0.0,1.0,31.936,528.32,9.772,31.936
0.0,0.0,0.0,1.0,36.336,528.32,4.4,36.336
1.0,0.0,0.0,1.0,43.688,528.32,7.352,43.688
0.0,0.0,0.0,1.0,47.68,528.32,3.992,47.68
1.0,0.0,0.0,1.0,53.716,528.32,6.036,53.716
0.0,0.0,0.0,1.0,57.404,528.32,3.688,57.404
1.0,0.0,0.0,1.0,62.92,528.32,5.516,62.92
0.0,0.0,0.0,1.0,66.448,528.32,3.528,66.448
1.0,0.0,0.0,1.0,71.796,528.32,5.348,71.796
0.0,0.0,0.0,1.0,75.352,528.32,3.556,75.352
1.0,0.0,0.0,1.0,80.792,528.32,5.44,80.792
0.0,0.0,0.0,1.0,84.388,528.32,3.596,84.388
1.0,0.0,0.0,1.0,90.188,528.32,5.8,90.188
0.0,0.0,0.0,1.0,93.9,528.32,3.712,93.9
1.0,0.0,0.0,1.0,100.292,528.32,6.392,100.292
0.0,0.0,0.0,1.0,104.284,528.32,3.992,104.284
1.0,0.0,0.0,1.0,111.668,528.32,7.384,111.668
0.0,0.0,0.0,1.0,115.896,528.32,4.228,115.896
1.0,0.0,0.0,1.0,125.024,528.32,9.128,125.024
