#
PriLevel,SecLevel,Trigger,Sync,RefTime,MaxTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms,ms
1.0,0.0,0.0,1.0,33.104,461.38,-428.276,33.104
0.0,0.0,0.0,1.0,41.484,461.38,8.38,41.484
1.0,0.0,0.0,1.0,82.708,461.38,41.224,82.708
0.0,0.0,0.0,1.0,88.512,461.38,5.804,88.512
1.0,0.0,0.0,1.0,103.092,461.38,14.58,103.092
0.0,0.0,0.0,1.0,107.836,461.38,4.744,107.836
1.0,0.0,0.0,1.0,119.892,461.38,12.056,119.892
0.0,0.0,0.0,1.0,124.576,461.38,4.684,124.576
1.0,0.0,0.0,1.0,133.704,461.38,9.128,133.704
0.0,0.0,0.0,1.0,138.032,461.38,4.328,138.032
1.0,0.0,0.0,1.0,144.916,461.38,6.884,144.916
0.0,0.0,0.0,1.0,148.844,461.38,3.928,148.844
1.0,0.0,0.0,1.0,154.724,461.38,5.88,154.724
0.0,0.0,0.0,1.0,158.464,461.38,3.74,158.464
1.0,0.0,0.0,1.0,163.956,461.38,5.492,163.956
0.0,0.0,0.0,1.0,167.664,461.38,3.708,167.664
1.0,0.0,0.0,1.0,173.132,461.38,5.468,173.132
0.0,0.0,0.0,1.0,176.852,461.38,3.72,176.852
1.0,0.0,0.0,1.0,182.524,461.38,5.672,182.524
0.0,0.0,0.0,1.0,186.348,461.38,3.824,186.348
1.0,0.0,0.0,1.0,192.492,461.38,6.144,192.492
0.0,0.0,0.0,1.0,196.552,461.38,4.06,196.552
1.0,0.0,0.0,1.0,203.584,461.38,7.032,203.584
0.0,0.0,0.0,1.0,207.832,461.38,4.248,207.832
1.0,0.0,0.0,1.0,216.212,461.38,8.38,216.212
0.0,0.0,0.0,1.0,220.756,461.38,4.544,220.756
1.0,0.0,0.0,1.0,230.788,461.38,10.032,230.788
0.0,0.0,0.0,1.0,235.824,461.38,5.036,235.824
1.0,0.0,0.0,1.0,270.42,461.38,34.596,270.42
0.0,0.0,0.0,1.0,277.996,461.38,7.576,277.996
1.0,0.0,0.0,1.0,288.884,461.38,10.888,288.884
0.0,0.0,0.0,1.0,293.552,461.38,4.668,293.552
1.0,0.0,0.0,1.0,304.668,461.38,11.116,304.668
0.0,0.0,0.0,1.0,309.536,461.38,4.868,309.536
1.0,0.0,0.0,1.0,321.288,461.38,11.752,321.288
0.0,0.0,0.0,1.0,326.188,461.38,4.9,326.188
1.0,0.0,0.0,1.0,338.264,461.38,12.076,338.264
0.0,0.0,0.0,1.0,343.164,461.38,4.9,343.164
1.0,0.0,0.0,1.0,354.592,461.38,11.428,354.592
0.0,0.0,0.0,1.0,359.448,461.38,4.856,359.448
1.0,0.0,0.0,1.0,368.38,461.38,8.932,368.38
0.0,0.0,0.0,1.0,372.868,461.38,4.488,372.868
1.0,0.0,0.0,1.0,379.768,461.38,6.9,379.768
0.0,0.0,0.0,1.0,383.916,461.38,4.148,383.916
1.0,0.0,0.0,1.0,389.912,461.38,5.996,389.912
0.0,0.0,0.0,1.0,393.92,461.38,4.008,393.92
1.0,0.0,0.0,1.0,399.572,461.38,5.652,399.572
0.0,0.0,0.0,1.0,403.544,461.38,3.972,403.544
1.0,0.0,0.0,1.0,409.244,461.38,5.7,409.244
0.0,0.0,0.0,1.0,413.244,461.38,4.0,413.244
1.0,0.0,0.0,1.0,419.22,461.38,5.976,419.22
0.0,0.0,0.0,1.0,423.42,461.38,4.2,423.42
1.0,0.0,0.0,1.0,430.024,461.38,6.604,430.024
0.0,0.0,0.0,1.0,434.492,461.38,4.468,434.492
1.0,0.0,0.0,1.0,442.176,461.38,7.684,442.176
0.0,0.0,0.0,1.0,447.044,461.38,4.868,447.044
1.0,0.0,0.0,1.0,456.66,461.38,9.616,456.66
0.0,0.0,0.0,1.0,461.7,461.7,5.04,461.7
1.0,0.0,0.0,1.0,470.06,470.06,8.36,470.06
0.0,0.0,0.0,1.0,476.364,476.364,6.304,476.364
1.0,0.0,0.0,1.0,509.688,509.688,33.324,509.688
0.0,0.0,0.0,1.0,517.768,517.768,8.08,517.768
1.0,0.0,0.0,1.0,557.412,557.412,39.644,557.412
0.0,0.0,0.0,1.0,563.544,563.544,6.132,563.544
MARK 000
0.0,0.0,0.0,1.0,3.94,563.544,-559.604,3.94
1.0,0.0,0.0,1.0,10.116,563.544,6.176,10.116
0.0,0.0,0.0,1.0,14.024,563.544,3.908,14.024
1.0,0.0,0.0,1.0,20.32,563.544,6.296,20.32
0.0,0.0,0.0,1.0,24.304,563.544,3.984,24.304
1.0,0.0,0.0,1.0,31.048,563.544,6.744,31.048
0.0,0.0,0.0,1.0,35.196,563.544,4.148,35.196
1.0,0.0,0.0,1.0,42.836,563.544,7.64,42.836
0.0,0.0,0.0,1.0,47.248,563.544,4.412,47.248
1.0,0.0,0.0,1.0,56.692,563.544,9.444,56.692
0.0,0.0,0.0,1.0,61.316,563.544,4.624,61.316
1.0,0.0,0.0,1.0,71.12,563.544,9.804,71.12
0.0,0.0,0.0,1.0,75.62,563.544,4.5,75.62
1.0,0.0,0.0,1.0,85.58,563.544,9.96,85.58
0.0,0.0,0.0,1.0,90.708,563.544,5.128,90.708
1.0,0.0,0.0,1.0,126.904,563.544,36.196,126.904
