//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 5-20-2019
//--  Time: 21:5
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 0.0(C), 	Resistance 1: 5800.0 Ohms 
//--    Temperature2: 80.0(C), 	Resistance 2: 180 Ohms 
//--    Temperature3: 100.0(C), 	Resistance 3: 90 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	180.00	1800 	0.000
1	180.00	1800 	0.005
2	180.00	1800 	0.010
3	180.00	1800 	0.015
4	180.00	1800 	0.020
5	336.84	3368 	0.024
6	323.76	3238 	0.029
7	312.98	3130 	0.034
8	303.84	3038 	0.039
9	295.93	2959 	0.044
10	288.97	2890 	0.049
11	282.76	2828 	0.054
12	277.16	2772 	0.059
13	272.07	2721 	0.063
14	267.40	2674 	0.068
15	263.10	2631 	0.073
16	259.11	2591 	0.078
17	255.39	2554 	0.083
18	251.91	2519 	0.088
19	248.64	2486 	0.093
20	245.56	2456 	0.098
21	242.65	2426 	0.103
22	239.88	2399 	0.107
23	237.26	2373 	0.112
24	234.76	2348 	0.117
25	232.37	2324 	0.122
26	230.09	2301 	0.127
27	227.90	2279 	0.132
28	225.80	2258 	0.137
29	223.78	2238 	0.142
30	221.84	2218 	0.146
31	219.97	2200 	0.151
32	218.16	2182 	0.156
33	216.41	2164 	0.161
34	214.73	2147 	0.166
35	213.09	2131 	0.171
36	211.51	2115 	0.176
37	209.97	2100 	0.181
38	208.48	2085 	0.186
39	207.03	2070 	0.190
40	205.62	2056 	0.195
41	204.25	2043 	0.200
42	202.92	2029 	0.205
43	201.61	2016 	0.210
44	200.35	2003 	0.215
45	199.11	1991 	0.220
46	197.90	1979 	0.225
47	196.72	1967 	0.229
48	195.57	1956 	0.234
49	194.44	1944 	0.239
50	193.34	1933 	0.244
51	192.26	1923 	0.249
52	191.20	1912 	0.254
53	190.17	1902 	0.259
54	189.15	1892 	0.264
55	188.16	1882 	0.269
56	187.18	1872 	0.273
57	186.23	1862 	0.278
58	185.29	1853 	0.283
59	184.37	1844 	0.288
60	183.46	1835 	0.293
61	182.57	1826 	0.298
62	181.70	1817 	0.303
63	180.84	1808 	0.308
64	180.00	1800 	0.313
65	179.17	1792 	0.317
66	178.35	1783 	0.322
67	177.54	1775 	0.327
68	176.75	1768 	0.332
69	175.97	1760 	0.337
70	175.21	1752 	0.342
71	174.45	1745 	0.347
72	173.71	1737 	0.352
73	172.97	1730 	0.356
74	172.25	1722 	0.361
75	171.54	1715 	0.366
76	170.83	1708 	0.371
77	170.14	1701 	0.376
78	169.45	1695 	0.381
79	168.78	1688 	0.386
80	168.11	1681 	0.391
81	167.46	1675 	0.396
82	166.81	1668 	0.400
83	166.16	1662 	0.405
84	165.53	1655 	0.410
85	164.91	1649 	0.415
86	164.29	1643 	0.420
87	163.68	1637 	0.425
88	163.08	1631 	0.430
89	162.48	1625 	0.435
90	161.89	1619 	0.439
91	161.31	1613 	0.444
92	160.73	1607 	0.449
93	160.16	1602 	0.454
94	159.60	1596 	0.459
95	159.04	1590 	0.464
96	158.49	1585 	0.469
97	157.94	1579 	0.474
98	157.41	1574 	0.479
