//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-12-2018
//--  Time: 12:34
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 0.0(C), 	Resistance 1: 5800.0 Ohms 
//--    Temperature2: 80.0(C), 	Resistance 2: 320.0 Ohms 
//--    Temperature3: 100.0(C), 	Resistance 3: 180.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	70.00	700 	0.005
2	70.00	700 	0.010
3	70.00	700 	0.015
4	70.00	700 	0.020
5	70.00	700 	0.024
6	70.00	700 	0.029
7	70.00	700 	0.034
8	70.00	700 	0.039
9	70.00	700 	0.044
10	70.00	700 	0.049
11	70.00	700 	0.054
12	349.81	3498 	0.059
13	342.62	3426 	0.063
14	336.07	3361 	0.068
15	330.04	3300 	0.073
16	324.47	3245 	0.078
17	319.29	3193 	0.083
18	314.45	3145 	0.088
19	309.92	3099 	0.093
20	305.67	3057 	0.098
21	301.65	3016 	0.103
22	297.85	2978 	0.107
23	294.24	2942 	0.112
24	290.81	2908 	0.117
25	287.54	2875 	0.122
26	284.42	2844 	0.127
27	281.44	2814 	0.132
28	278.58	2786 	0.137
29	275.83	2758 	0.142
30	273.20	2732 	0.146
31	270.66	2707 	0.151
32	268.21	2682 	0.156
33	265.85	2658 	0.161
34	263.57	2636 	0.166
35	261.36	2614 	0.171
36	259.23	2592 	0.176
37	257.16	2572 	0.181
38	255.15	2552 	0.186
39	253.21	2532 	0.190
40	251.32	2513 	0.195
41	249.48	2495 	0.200
42	247.69	2477 	0.205
43	245.95	2459 	0.210
44	244.25	2443 	0.215
45	242.60	2426 	0.220
46	240.99	2410 	0.225
47	239.41	2394 	0.229
48	237.88	2379 	0.234
49	236.38	2364 	0.239
50	234.91	2349 	0.244
51	233.48	2335 	0.249
52	232.07	2321 	0.254
53	230.70	2307 	0.259
54	229.35	2294 	0.264
55	228.04	2280 	0.269
56	226.75	2267 	0.273
57	225.48	2255 	0.278
58	224.24	2242 	0.283
59	223.02	2230 	0.288
60	221.83	2218 	0.293
61	220.65	2207 	0.298
62	219.50	2195 	0.303
63	218.37	2184 	0.308
64	217.26	2173 	0.313
65	216.16	2162 	0.317
66	215.09	2151 	0.322
67	214.03	2140 	0.327
68	212.99	2130 	0.332
69	211.97	2120 	0.337
70	210.96	2110 	0.342
71	209.97	2100 	0.347
72	208.99	2090 	0.352
73	208.03	2080 	0.356
74	207.08	2071 	0.361
75	206.15	2061 	0.366
76	205.23	2052 	0.371
77	204.32	2043 	0.376
78	203.42	2034 	0.381
79	202.54	2025 	0.386
80	201.67	2017 	0.391
81	200.81	2008 	0.396
82	199.96	2000 	0.400
83	199.13	1991 	0.405
84	198.30	1983 	0.410
85	197.49	1975 	0.415
86	196.68	1967 	0.420
87	195.89	1959 	0.425
88	195.10	1951 	0.430
89	194.33	1943 	0.435
90	193.56	1936 	0.439
91	192.80	1928 	0.444
92	192.05	1921 	0.449
93	191.31	1913 	0.454
94	190.58	1906 	0.459
95	189.86	1899 	0.464
96	189.15	1891 	0.469
97	188.44	1884 	0.474
98	187.74	1877 	0.479
99	187.05	1870 	0.483
100	186.36	1864 	0.488
101	185.68	1857 	0.493
102	185.01	1850 	0.498
103	184.35	1843 	0.503
104	183.69	1837 	0.508
105	183.04	1830 	0.513
106	182.40	1824 	0.518
107	181.76	1818 	0.522
108	181.13	1811 	0.527
109	180.51	1805 	0.532
110	179.89	1799 	0.537
111	179.27	1793 	0.542
112	178.67	1787 	0.547
113	178.06	1781 	0.552
114	177.47	1775 	0.557
115	176.88	1769 	0.562
116	176.29	1763 	0.566
117	175.71	1757 	0.571
118	175.13	1751 	0.576
119	174.56	1746 	0.581
120	174.00	1740 	0.586
121	173.44	1734 	0.591
122	172.88	1729 	0.596
123	172.33	1723 	0.601
124	171.78	1718 	0.605
125	171.24	1712 	0.610
126	170.70	1707 	0.615
127	170.17	1702 	0.620
128	169.64	1696 	0.625
129	169.12	1691 	0.630
130	168.60	1686 	0.635
131	168.08	1681 	0.640
132	167.57	1676 	0.645
133	167.06	1671 	0.649
134	166.55	1666 	0.654
135	166.05	1661 	0.659
136	165.56	1656 	0.664
137	165.06	1651 	0.669
138	164.57	1646 	0.674
139	164.09	1641 	0.679
140	163.60	1636 	0.684
141	163.12	1631 	0.688
142	162.65	1626 	0.693
143	162.17	1622 	0.698
144	161.71	1617 	0.703
145	161.24	1612 	0.708
146	160.78	1608 	0.713
147	160.32	1603 	0.718
148	159.86	1599 	0.723
149	159.41	1594 	0.728
150	158.96	1590 	0.732
151	158.51	1585 	0.737
152	158.06	1581 	0.742
153	157.62	1576 	0.747
154	157.18	1572 	0.752
155	156.75	1567 	0.757
156	156.31	1563 	0.762
157	155.88	1559 	0.767
158	155.46	1555 	0.771
159	155.03	1550 	0.776
160	154.61	1546 	0.781
161	154.19	1542 	0.786
162	153.77	1538 	0.791
163	153.35	1534 	0.796
164	152.94	1529 	0.801
165	152.53	1525 	0.806
166	152.12	1521 	0.811
167	151.72	1517 	0.815
