#Firmware: Speeduino 2018.5
ToothTime,Time
uS,uS
276.0,644484.0
280.0,644764.0
276.0,645040.0
280.0,645320.0
276.0,645596.0
280.0,645876.0
276.0,646152.0
280.0,646432.0
280.0,646712.0
276.0,646988.0
280.0,647268.0
276.0,647544.0
280.0,647824.0
832.0,648656.0
280.0,648936.0
276.0,649212.0
280.0,649492.0
280.0,649772.0
276.0,650048.0
280.0,650328.0
276.0,650604.0
280.0,650884.0
280.0,651164.0
276.0,651440.0
280.0,651720.0
276.0,651996.0
836.0,652832.0
832.0,653664.0
280.0,653944.0
276.0,654220.0
292.0,654512.0
264.0,654776.0
280.0,655056.0
280.0,655336.0
276.0,655612.0
280.0,655892.0
276.0,656168.0
280.0,656448.0
276.0,656724.0
280.0,657004.0
276.0,657280.0
280.0,657560.0
280.0,657840.0
832.0,658672.0
280.0,658952.0
276.0,659228.0
280.0,659508.0
276.0,659784.0
280.0,660064.0
276.0,660340.0
280.0,660620.0
280.0,660900.0
276.0,661176.0
280.0,661456.0
280.0,661736.0
276.0,662012.0
832.0,662844.0
836.0,663680.0
280.0,663960.0
276.0,664236.0
280.0,664516.0
276.0,664792.0
280.0,665072.0
276.0,665348.0
280.0,665628.0
276.0,665904.0
280.0,666184.0
276.0,666460.0
280.0,666740.0
280.0,667020.0
276.0,667296.0
280.0,667576.0
276.0,667852.0
836.0,668688.0
284.0,668972.0
272.0,669244.0
280.0,669524.0
276.0,669800.0
280.0,670080.0
276.0,670356.0
292.0,670648.0
264.0,670912.0
280.0,671192.0
276.0,671468.0
280.0,671748.0
280.0,672028.0
832.0,672860.0
836.0,673696.0
276.0,673972.0
280.0,674252.0
276.0,674528.0
280.0,674808.0
276.0,675084.0
280.0,675364.0
280.0,675644.0
276.0,675920.0
280.0,676200.0
276.0,676476.0
280.0,676756.0
280.0,677036.0
276.0,677312.0
276.0,677588.0
280.0,677868.0
844.0,678712.0
268.0,678980.0
280.0,679260.0
276.0,679536.0
280.0,679816.0
276.0,680092.0
280.0,680372.0
276.0,680648.0
280.0,680928.0
280.0,681208.0
276.0,681484.0
280.0,681764.0
276.0,682040.0
836.0,682876.0
832.0,683708.0
280.0,683988.0
280.0,684268.0
276.0,684544.0
280.0,684824.0
276.0,685100.0
280.0,685380.0
276.0,685656.0
280.0,685936.0
280.0,686216.0
276.0,686492.0
MARK 000
276.0,686768.0
280.0,687048.0
276.0,687324.0
280.0,687604.0
276.0,687880.0
280.0,688160.0
276.0,688436.0
288.0,688724.0
272.0,688996.0
276.0,689272.0
280.0,689552.0
284.0,689836.0
272.0,690108.0
276.0,690384.0
836.0,691220.0
276.0,691496.0
280.0,691776.0
280.0,692056.0
276.0,692332.0
280.0,692612.0
276.0,692888.0
280.0,693168.0
276.0,693444.0
280.0,693724.0
276.0,694000.0
280.0,694280.0
276.0,694556.0
836.0,695392.0
836.0,696228.0
276.0,696504.0
280.0,696784.0
276.0,697060.0
280.0,697340.0
280.0,697620.0
276.0,697896.0
280.0,698176.0
276.0,698452.0
280.0,698732.0
276.0,699008.0
280.0,699288.0
284.0,699572.0
288.0,699860.0
260.0,700120.0
280.0,700400.0
836.0,701236.0
276.0,701512.0
280.0,701792.0
276.0,702068.0
280.0,702348.0
276.0,702624.0
284.0,702908.0
272.0,703180.0
280.0,703460.0
280.0,703740.0
276.0,704016.0
280.0,704296.0
276.0,704572.0
836.0,705408.0
836.0,706244.0
280.0,706524.0
276.0,706800.0
276.0,707076.0
280.0,707356.0
276.0,707632.0
292.0,707924.0
264.0,708188.0
280.0,708468.0
276.0,708744.0
280.0,709024.0
280.0,709304.0
276.0,709580.0
280.0,709860.0
276.0,710136.0
280.0,710416.0
836.0,711252.0
276.0,711528.0
276.0,711804.0
280.0,712084.0
280.0,712364.0
276.0,712640.0
280.0,712920.0
276.0,713196.0
280.0,713476.0
276.0,713752.0
280.0,714032.0
276.0,714308.0
280.0,714588.0
836.0,715424.0
832.0,716256.0
280.0,716536.0
276.0,716812.0
280.0,717092.0
276.0,717368.0
280.0,717648.0
280.0,717928.0
276.0,718204.0
280.0,718484.0
276.0,718760.0
280.0,719040.0
276.0,719316.0
280.0,719596.0
276.0,719872.0
280.0,720152.0
276.0,720428.0
836.0,721264.0
280.0,721544.0
276.0,721820.0
280.0,722100.0
276.0,722376.0
280.0,722656.0
276.0,722932.0
280.0,723212.0
276.0,723488.0
280.0,723768.0
284.0,724052.0
276.0,724328.0
276.0,724604.0
832.0,725436.0
836.0,726272.0
280.0,726552.0
276.0,726828.0
280.0,727108.0
276.0,727384.0
280.0,727664.0
276.0,727940.0
280.0,728220.0
276.0,728496.0
280.0,728776.0
MARK 001
276.0,729052.0
280.0,729332.0
276.0,729608.0
836.0,730444.0
280.0,730724.0
276.0,731000.0
280.0,731280.0
276.0,731556.0
280.0,731836.0
276.0,732112.0
288.0,732400.0
268.0,732668.0
280.0,732948.0
276.0,733224.0
280.0,733504.0
280.0,733784.0
832.0,734616.0
836.0,735452.0
276.0,735728.0
280.0,736008.0
280.0,736288.0
276.0,736564.0
284.0,736848.0
272.0,737120.0
280.0,737400.0
276.0,737676.0
280.0,737956.0
276.0,738232.0
280.0,738512.0
276.0,738788.0
280.0,739068.0
280.0,739348.0
276.0,739624.0
848.0,740472.0
264.0,740736.0
280.0,741016.0
276.0,741292.0
280.0,741572.0
276.0,741848.0
280.0,742128.0
280.0,742408.0
276.0,742684.0
280.0,742964.0
276.0,743240.0
280.0,743520.0
276.0,743796.0
836.0,744632.0
836.0,745468.0
276.0,745744.0
280.0,746024.0
276.0,746300.0
280.0,746580.0
276.0,746856.0
280.0,747136.0
276.0,747412.0
280.0,747692.0
276.0,747968.0
280.0,748248.0
288.0,748536.0
272.0,748808.0
276.0,749084.0
276.0,749360.0
280.0,749640.0
832.0,750472.0
280.0,750752.0
280.0,751032.0
276.0,751308.0
280.0,751588.0
276.0,751864.0
280.0,752144.0
276.0,752420.0
280.0,752700.0
276.0,752976.0
280.0,753256.0
280.0,753536.0
276.0,753812.0
836.0,754648.0
832.0,755480.0
280.0,755760.0
276.0,756036.0
280.0,756316.0
292.0,756608.0
268.0,756876.0
276.0,757152.0
276.0,757428.0
280.0,757708.0
276.0,757984.0
280.0,758264.0
276.0,758540.0
280.0,758820.0
276.0,759096.0
280.0,759376.0
280.0,759656.0
832.0,760488.0
280.0,760768.0
276.0,761044.0
280.0,761324.0
276.0,761600.0
280.0,761880.0
276.0,762156.0
280.0,762436.0
280.0,762716.0
276.0,762992.0
280.0,763272.0
276.0,763548.0
280.0,763828.0
844.0,764672.0
824.0,765496.0
280.0,765776.0
276.0,766052.0
280.0,766332.0
276.0,766608.0
280.0,766888.0
276.0,767164.0
280.0,767444.0
276.0,767720.0
280.0,768000.0
280.0,768280.0
276.0,768556.0
280.0,768836.0
276.0,769112.0
280.0,769392.0
276.0,769668.0
836.0,770504.0
280.0,770784.0
276.0,771060.0
280.0,771340.0
276.0,771616.0
MARK 002
280.0,771896.0
832.0,772728.0
280.0,773008.0
276.0,773284.0
280.0,773564.0
276.0,773840.0
280.0,774120.0
276.0,774396.0
284.0,774680.0
276.0,774956.0
276.0,775232.0
280.0,775512.0
276.0,775788.0
280.0,776068.0
832.0,776900.0
836.0,777736.0
280.0,778016.0
276.0,778292.0
280.0,778572.0
292.0,778864.0
264.0,779128.0
276.0,779404.0
280.0,779684.0
276.0,779960.0
280.0,780240.0
280.0,780520.0
276.0,780796.0
280.0,781076.0
276.0,781352.0
280.0,781632.0
276.0,781908.0
836.0,782744.0
276.0,783020.0
280.0,783300.0
280.0,783580.0
276.0,783856.0
280.0,784136.0
276.0,784412.0
280.0,784692.0
276.0,784968.0
280.0,785248.0
276.0,785524.0
280.0,785804.0
280.0,786084.0
844.0,786928.0
824.0,787752.0
276.0,788028.0
280.0,788308.0
276.0,788584.0
280.0,788864.0
280.0,789144.0
276.0,789420.0
280.0,789700.0
276.0,789976.0
280.0,790256.0
276.0,790532.0
280.0,790812.0
276.0,791088.0
280.0,791368.0
276.0,791644.0
280.0,791924.0
836.0,792760.0
276.0,793036.0
280.0,793316.0
276.0,793592.0
280.0,793872.0
276.0,794148.0
280.0,794428.0
276.0,794704.0
288.0,794992.0
272.0,795264.0
276.0,795540.0
280.0,795820.0
276.0,796096.0
836.0,796932.0
832.0,797764.0
280.0,798044.0
280.0,798324.0
276.0,798600.0
280.0,798880.0
276.0,799156.0
280.0,799436.0
276.0,799712.0
280.0,799992.0
276.0,800268.0
280.0,800548.0
280.0,800828.0
276.0,801104.0
280.0,801384.0
276.0,801660.0
280.0,801940.0
832.0,802772.0
292.0,803064.0
268.0,803332.0
276.0,803608.0
280.0,803888.0
280.0,804168.0
276.0,804444.0
276.0,804720.0
280.0,805000.0
276.0,805276.0
280.0,805556.0
276.0,805832.0
280.0,806112.0
836.0,806948.0
832.0,807780.0
280.0,808060.0
276.0,808336.0
280.0,808616.0
276.0,808892.0
280.0,809172.0
280.0,809452.0
276.0,809728.0
280.0,810008.0
280.0,810288.0
276.0,810564.0
276.0,810840.0
288.0,811128.0
268.0,811396.0
280.0,811676.0
280.0,811956.0
832.0,812788.0
280.0,813068.0
276.0,813344.0
280.0,813624.0
276.0,813900.0
280.0,814180.0
276.0,814456.0
MARK 003
276.0,814732.0
280.0,815012.0
276.0,815288.0
288.0,815576.0
268.0,815844.0
280.0,816124.0
280.0,816404.0
276.0,816680.0
280.0,816960.0
832.0,817792.0
836.0,818628.0
276.0,818904.0
280.0,819184.0
280.0,819464.0
276.0,819740.0
280.0,820020.0
276.0,820296.0
280.0,820576.0
276.0,820852.0
280.0,821132.0
276.0,821408.0
280.0,821688.0
280.0,821968.0
276.0,822244.0
280.0,822524.0
276.0,822800.0
848.0,823648.0
264.0,823912.0
280.0,824192.0
276.0,824468.0
280.0,824748.0
280.0,825028.0
276.0,825304.0
280.0,825584.0
276.0,825860.0
280.0,826140.0
276.0,826416.0
280.0,826696.0
276.0,826972.0
836.0,827808.0
836.0,828644.0
276.0,828920.0
280.0,829200.0
276.0,829476.0
280.0,829756.0
276.0,830032.0
280.0,830312.0
280.0,830592.0
276.0,830868.0
280.0,831148.0
276.0,831424.0
296.0,831720.0
260.0,831980.0
280.0,832260.0
276.0,832536.0
280.0,832816.0
836.0,833652.0
276.0,833928.0
280.0,834208.0
276.0,834484.0
280.0,834764.0
276.0,835040.0
280.0,835320.0
280.0,835600.0
276.0,835876.0
276.0,836152.0
280.0,836432.0
280.0,836712.0
276.0,836988.0
836.0,837824.0
832.0,838656.0
280.0,838936.0
280.0,839216.0
276.0,839492.0
280.0,839772.0
276.0,840048.0
280.0,840328.0
276.0,840604.0
280.0,840884.0
276.0,841160.0
280.0,841440.0
276.0,841716.0
280.0,841996.0
280.0,842276.0
276.0,842552.0
288.0,842840.0
824.0,843664.0
280.0,843944.0
276.0,844220.0
280.0,844500.0
276.0,844776.0
280.0,845056.0
280.0,845336.0
276.0,845612.0
280.0,845892.0
276.0,846168.0
280.0,846448.0
276.0,846724.0
280.0,847004.0
832.0,847836.0
836.0,848672.0
280.0,848952.0
276.0,849228.0
280.0,849508.0
276.0,849784.0
280.0,850064.0
276.0,850340.0
280.0,850620.0
284.0,850904.0
272.0,851176.0
280.0,851456.0
276.0,851732.0
280.0,852012.0
276.0,852288.0
280.0,852568.0
280.0,852848.0
836.0,853684.0
276.0,853960.0
276.0,854236.0
280.0,854516.0
276.0,854792.0
284.0,855076.0
272.0,855348.0
280.0,855628.0
276.0,855904.0
280.0,856184.0
284.0,856468.0
272.0,856740.0
MARK 004
276.0,857016.0
280.0,857296.0
276.0,857572.0
276.0,857848.0
280.0,858128.0
280.0,858408.0
276.0,858684.0
280.0,858964.0
276.0,859240.0
836.0,860076.0
280.0,860356.0
276.0,860632.0
280.0,860912.0
276.0,861188.0
280.0,861468.0
276.0,861744.0
280.0,862024.0
284.0,862308.0
272.0,862580.0
276.0,862856.0
284.0,863140.0
272.0,863412.0
836.0,864248.0
836.0,865084.0
276.0,865360.0
284.0,865644.0
272.0,865916.0
280.0,866196.0
280.0,866476.0
276.0,866752.0
280.0,867032.0
276.0,867308.0
280.0,867588.0
276.0,867864.0
280.0,868144.0
276.0,868420.0
280.0,868700.0
276.0,868976.0
280.0,869256.0
836.0,870092.0
288.0,870380.0
268.0,870648.0
276.0,870924.0
280.0,871204.0
276.0,871480.0
280.0,871760.0
276.0,872036.0
280.0,872316.0
280.0,872596.0
276.0,872872.0
280.0,873152.0
276.0,873428.0
836.0,874264.0
836.0,875100.0
276.0,875376.0
280.0,875656.0
276.0,875932.0
280.0,876212.0
276.0,876488.0
280.0,876768.0
276.0,877044.0
280.0,877324.0
276.0,877600.0
280.0,877880.0
280.0,878160.0
284.0,878444.0
272.0,878716.0
276.0,878992.0
280.0,879272.0
832.0,880104.0
280.0,880384.0
276.0,880660.0
