//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-11-2018
//--  Time: 15:0
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using formula: table(adcValue*5/1023 , "nb.inc") 
//-- Table Identifier:002

ADC 	Value 	MSVal 	volts
0	20.81	208 	0.000
1	20.60	206 	0.005
2	20.40	204 	0.010
3	20.19	202 	0.015
4	19.99	200 	0.020
5	19.78	198 	0.024
6	19.58	196 	0.029
7	19.37	194 	0.034
8	19.17	192 	0.039
9	18.96	190 	0.044
10	18.76	188 	0.049
11	18.55	186 	0.054
12	18.35	183 	0.059
13	18.14	181 	0.063
14	17.94	179 	0.068
15	17.73	177 	0.073
16	17.53	175 	0.078
17	17.32	173 	0.083
18	17.19	172 	0.088
19	17.10	171 	0.093
20	17.01	170 	0.098
21	16.92	169 	0.103
22	16.83	168 	0.107
23	16.74	167 	0.112
24	16.65	167 	0.117
25	16.56	166 	0.122
26	16.48	165 	0.127
27	16.39	164 	0.132
28	16.32	163 	0.137
29	16.26	163 	0.142
30	16.21	162 	0.146
31	16.16	162 	0.151
32	16.10	161 	0.156
33	16.05	161 	0.161
34	16.00	160 	0.166
35	15.94	159 	0.171
36	15.89	159 	0.176
37	15.84	158 	0.181
38	15.78	158 	0.186
39	15.73	157 	0.190
40	15.68	157 	0.195
41	15.64	156 	0.200
42	15.61	156 	0.205
43	15.57	156 	0.210
44	15.54	155 	0.215
45	15.50	155 	0.220
46	15.47	155 	0.225
47	15.43	154 	0.229
48	15.40	154 	0.234
49	15.36	154 	0.239
50	15.33	153 	0.244
51	15.29	153 	0.249
52	15.26	153 	0.254
53	15.23	152 	0.259
54	15.21	152 	0.264
55	15.19	152 	0.269
56	15.17	152 	0.273
57	15.15	152 	0.278
58	15.13	151 	0.283
59	15.11	151 	0.288
60	15.09	151 	0.293
61	15.07	151 	0.298
62	15.05	150 	0.303
63	15.03	150 	0.308
64	15.01	150 	0.313
65	14.99	150 	0.317
66	14.98	150 	0.322
67	14.97	150 	0.327
68	14.96	150 	0.332
69	14.95	149 	0.337
70	14.94	149 	0.342
71	14.93	149 	0.347
72	14.92	149 	0.352
73	14.91	149 	0.356
74	14.90	149 	0.361
75	14.88	149 	0.366
76	14.87	149 	0.371
77	14.86	149 	0.376
78	14.85	149 	0.381
79	14.84	148 	0.386
80	14.83	148 	0.391
81	14.82	148 	0.396
82	14.81	148 	0.400
83	14.80	148 	0.405
84	14.79	148 	0.410
85	14.78	148 	0.415
86	14.77	148 	0.420
87	14.76	148 	0.425
88	14.75	147 	0.430
89	14.74	147 	0.435
90	14.72	147 	0.439
91	14.71	147 	0.444
92	14.70	147 	0.449
93	14.69	147 	0.454
94	14.68	147 	0.459
95	14.67	147 	0.464
96	14.66	147 	0.469
97	14.65	147 	0.474
98	14.64	146 	0.479
99	14.63	146 	0.483
100	14.62	146 	0.488
101	14.61	146 	0.493
102	14.60	146 	0.498
103	14.59	146 	0.503
104	14.58	146 	0.508
105	14.57	146 	0.513
106	14.56	146 	0.518
107	14.55	146 	0.522
108	14.54	145 	0.527
109	14.53	145 	0.532
110	14.52	145 	0.537
111	14.51	145 	0.542
112	14.50	145 	0.547
113	14.49	145 	0.552
114	14.48	145 	0.557
115	14.47	145 	0.562
116	14.46	145 	0.566
117	14.45	145 	0.571
118	14.44	144 	0.576
119	14.43	144 	0.581
120	14.42	144 	0.586
121	14.41	144 	0.591
122	14.40	144 	0.596
123	14.39	144 	0.601
124	14.38	144 	0.605
125	14.37	144 	0.610
126	14.36	144 	0.615
127	14.35	144 	0.620
128	14.34	143 	0.625
129	14.33	143 	0.630
130	14.32	143 	0.635
131	14.31	143 	0.640
132	14.30	143 	0.645
133	14.28	143 	0.649
134	14.26	143 	0.654
135	14.23	142 	0.659
136	14.21	142 	0.664
137	14.19	142 	0.669
138	14.16	142 	0.674
139	14.14	141 	0.679
140	14.11	141 	0.684
141	14.09	141 	0.688
142	14.06	141 	0.693
143	14.04	140 	0.698
144	14.01	140 	0.703
145	13.98	140 	0.708
146	13.94	139 	0.713
147	13.90	139 	0.718
148	13.87	139 	0.723
